Date,Total,Month,Day,Year
15-Jul,103.2,7,1,2015
15-Aug,98.4,8,1,2015
15-Sep,98.3,9,1,2015
15-Oct,99.3,10,1,2015
15-Nov,91,11,1,2015
15-Dec,97.5,12,1,2015
16-Jan,76.2,1,1,2016
16-Feb,86.3,2,1,2016
16-Mar,99.8,3,1,2016
16-Apr,101.9,4,1,2016
16-May,110.3,5,1,2016
16-Jun,117.6,6,1,2016
16-Jul,97.9,7,1,2016
16-Aug,111.6,8,1,2016
16-Sep,111.7,9,1,2016
16-Oct,104,10,1,2016
16-Nov,94.5,11,1,2016
16-Dec,94.8,12,1,2016
17-Jan,90.6,1,1,2017
17-Feb,86.9,2,1,2017
17-Mar,115.3,3,1,2017
17-Apr,105,4,1,2017
17-May,115.3,5,1,2017
17-Jun,130.8,6,1,2017
17-Jul,102.9,7,1,2017
17-Aug,122.1,8,1,2017
17-Sep,103.3,9,1,2017
17-Oct,116.3,10,1,2017
17-Nov,98.8,11,1,2017
17-Dec,94.8,12,1,2017
18-Jan,96.7,1,1,2018
18-Feb,92.1,2,1,2018
18-Mar,117.6,3,1,2018
18-Apr,119.9,4,1,2018
18-May,125,5,1,2018
18-Jun,121.6,6,1,2018
18-Jul,113,7,1,2018
18-Aug,116.9,8,1,2018
18-Sep,99.4,9,1,2018
18-Oct,112.6,10,1,2018
